CMpgH9oPqb8J|A_health_iot_platform_based_on_the_integration_of_intelligent_packaging_unobtrusive_bio_sensor_and_intelligent_medicine_box|A health-iot platform based on the integration of intelligent packaging, unobtrusive bio-sensor, and intelligent medicine box|http://ieeexplore.ieee.org/abstract/document/6747344/|http://www.diva-portal.org/smash/get/diva2:833968/FULLTEXT01.pdf|151
7wIRYurvnT4J|Internet_of_things_for_an_age_friendly_healthcare|Internet of things for an age-friendly healthcare.|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|20
WLxn10T516IJ|A_novel_and_secure_IoT_based_cloud_centric_architecture_to_perform_predictive_analysis_of_users_activities_in_sustainable_health_centres|A novel and secure IoT based cloud centric architecture to perform predictive analysis of users activities in sustainable health centres|https://link.springer.com/article/10.1007/s11042-016-4050-6|https://link.springer.com/article/10.1007/s11042-016-4050-6|15
lssAEFvrmFQJ|Wearable_Internet_of_Things_Concept_architectural_components_and_promises_for_person_centered_healthcare|Wearable Internet of Things: Concept, architectural components and promises for person-centered healthcare|http://ieeexplore.ieee.org/abstract/document/7015971/|https://pdfs.semanticscholar.org/57b7/240f0b2d1395c08c7dee868a4754510ba9be.pdf|62
ENmmxhS7G74J|Health_Internet_of_Things_Metrics_and_methods_for_efficient_data_transfer|Health Internet of Things: Metrics and methods for efficient data transfer|https://www.sciencedirect.com/science/article/pii/S1569190X12001232|http://www.academia.edu/download/46620433/j.simpat.2012.08.00220160619-7611-g36x93.pdf|43
E5RUFiK4NxwJ|Introduction_Systems_science_in_industrial_sectors|Introduction: Systems science in industrial sectors|http://onlinelibrary.wiley.com/doi/10.1002/sres.2186/full||52
YOB5jwpaatkJ|The_potential_of_Internet_of_Things_IOT_for_assisted_living_applications|The potential of Internet of Things (IOT) for assisted living applications|http://ieeexplore.ieee.org/abstract/document/6183152/||4
mOp73RC6yy0J|Smart_clothing_Connecting_human_with_clouds_and_big_data_for_sustainable_health_monitoring|Smart clothing: Connecting human with clouds and big data for sustainable health monitoring|https://link.springer.com/article/10.1007/s11036-016-0745-1|https://link.springer.com/article/10.1007/s11036-016-0745-1|71
99_j6WeWKcoJ|Effective_ways_to_use_Internet_of_Things_in_the_field_of_medical_and_smart_health_care|Effective ways to use Internet of Things in the field of medical and smart health care|http://ieeexplore.ieee.org/abstract/document/7475151/|http://www.ieeeprojectsmadurai.com/2015-16%20IEEE%20PAPERS/embedded/Effective%20Ways%20to%20Use%20Internet%20of%20Things%20in%20the%20field%20of%20medical%20and%20Smart%20Health%20care.pdf|17
XVe4OV8waa0J|A_web_platform_for_interconnecting_body_sensors_and_improving_health_care|A web platform for interconnecting body sensors and improving health care|https://www.sciencedirect.com/science/article/pii/S1877050914014082|https://www.sciencedirect.com/science/article/pii/S1877050914014082/pdf?md5=366644074f095b4f636499e5e66f1252&pid=1-s2.0-S1877050914014082-main.pdf&_valck=1|26
7wIRYurvnT4J|Internet_of_things_for_an_age_friendly_healthcare|Internet of things for an age-friendly healthcare.|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|https://pdfs.semanticscholar.org/a59e/9c3fc5437939c1ae05d1aaeedc8b52a3443c.pdf|20
1AMyi7Zmqp0J|Intelligent_packaging_and_intelligent_medicine_box_for_medication_management_towards_the_Internet_of_Things|Intelligent packaging and intelligent medicine box for medication management towards the Internet-of-Things|http://ieeexplore.ieee.org/abstract/document/6779193/|http://www.icact.org/journal/Volume2_Issue6.pdf#page=26|9
